コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.424
クラリネットの2022
めす　4/1生　鹿毛
父：サトノダイヤモンド
母：クラリネット
母父：Giant's Causeway
販売者：(有)下河辺牧場",424,クラリネットの2022,めす,4/1,鹿,サトノダイヤモンド,クラリネット,Giant's Causeway,(有)下河辺牧場,シモコウベボクジョウ,(有)下河辺牧場
"No.425
ヤマカツマリリンの2022
牡　4/26生　鹿毛
父：ロードカナロア
母：ヤマカツマリリン
母父：グラスワンダー
販売者：(有)岡田牧場",425,ヤマカツマリリンの2022,牡,4/26,鹿,ロードカナロア,ヤマカツマリリン,グラスワンダー,(有)岡田牧場,オカダボクジョウ,(有)岡田牧場
"No.426
ラーゴブルーの2022
めす　2/9生　鹿毛
父：エピファネイア
母：ラーゴブルー
母父：ハーツクライ
販売者：(有)ノーザンレーシング",426,ラーゴブルーの2022,めす,2/9,鹿,エピファネイア,ラーゴブルー,ハーツクライ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.427
マイダイアリーの2022
牡　2/1生　鹿毛
父：キズナ
母：マイダイアリー
母父：Frankel
販売者：田所 英子",427,マイダイアリーの2022,牡,2/1,鹿,キズナ,マイダイアリー,Frankel,田所 英子,タドコロエイコ,(有)北島牧場
"No.428
ドロウアカードの2022
牡　3/20生　黒鹿毛
父：ブリックスアンドモルタル
母：ドロウアカード
母父：ダイワメジャー
販売者：社台ファーム",428,ドロウアカードの2022,牡,3/20,黒鹿,ブリックスアンドモルタル,ドロウアカード,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.429
トレジャリングの2022
牡　1/30生　栗毛
父：アドマイヤマーズ
母：トレジャリング
母父：Havana Gold
販売者：(有)ノーザンレーシング",429,トレジャリングの2022,牡,1/30,栗,アドマイヤマーズ,トレジャリング,Havana Gold,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.430
クリッパールートの2022
牡　1/27生　栗毛
父：ヘニーヒューズ
母：クリッパールート
母父：シンボリクリスエス
販売者：追分ファーム",430,クリッパールートの2022,牡,1/27,栗,ヘニーヒューズ,クリッパールート,シンボリクリスエス,追分ファーム,オイワケファーム,追分ファーム
"No.431
ギモーヴの2022
めす　2/12生　黒鹿毛
父：キタサンブラック
母：ギモーヴ
母父：ハービンジャー
販売者：(有)ノーザンレーシング",431,ギモーヴの2022,めす,2/12,黒鹿,キタサンブラック,ギモーヴ,ハービンジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.432
アメリカンソングの2022
牡　4/3生　黒鹿毛
父：American Pharoah
母：アメリカンソング
母父：Stripes Song
販売者：(有)グランド牧場",432,アメリカンソングの2022,牡,4/3,黒鹿,American Pharoah,アメリカンソング,Stripes Song,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.433
ロングホットサマーの2022
牡　3/17生　鹿毛
父：サトノダイヤモンド
母：ロングホットサマー
母父：Street Boss
販売者：社台ファーム",433,ロングホットサマーの2022,牡,3/17,鹿,サトノダイヤモンド,ロングホットサマー,Street Boss,社台ファーム,シャダイファーム,社台ファーム
"No.434
エリーシエズワールドの2022
牡　2/15生　鹿毛
父：Saxon Warrior
母：エリーシエズワールド
母父：Champs Elysees
販売者：(有)ノーザンレーシング",434,エリーシエズワールドの2022,牡,2/15,鹿,Saxon Warrior,エリーシエズワールド,Champs Elysees,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.435
アイアムカミノマゴの2022
牡　3/22生　栗毛
父：エピファネイア
母：アイアムカミノマゴ
母父：アグネスタキオン
販売者：(有)矢野牧場",435,アイアムカミノマゴの2022,牡,3/22,栗,エピファネイア,アイアムカミノマゴ,アグネスタキオン,(有)矢野牧場,ヤノボクジョウ,(有)矢野牧場
"No.436
マリブウィンの2022
牡　3/16生　栗毛
父：モーリス
母：マリブウィン
母父：Malibu Moon
販売者：(有)須崎牧場",436,マリブウィンの2022,牡,3/16,栗,モーリス,マリブウィン,Malibu Moon,(有)須崎牧場,スザキボクジョウ,(有)須崎牧場
"No.437
エスケイプクローズの2022
めす　2/22生　鹿毛
父：ドゥラメンテ
母：エスケイプクローズ
母父：Going Commando
販売者：吉田 俊介",437,エスケイプクローズの2022,めす,2/22,鹿,ドゥラメンテ,エスケイプクローズ,Going Commando,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
"No.438
マラコンセハダの2022
牡　2/15生　栗毛
父：ダイワメジャー
母：マラコンセハダ
母父：Zensational
販売者：(有)新冠橋本牧場",438,マラコンセハダの2022,牡,2/15,栗,ダイワメジャー,マラコンセハダ,Zensational,(有)新冠橋本牧場,ニイカップハシモトボクジョウ,(有)新冠橋本牧場
"No.439
エクスプレスレーンの2022
牡　3/6生　鹿毛
父：マインドユアビスケッツ
母：エクスプレスレーン
母父：ディープインパクト
販売者：社台ファーム",439,エクスプレスレーンの2022,牡,3/6,鹿,マインドユアビスケッツ,エクスプレスレーン,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.440
ビキニブロンドの2022
牡　2/22生　鹿毛
父：ブリックスアンドモルタル
母：ビキニブロンド
母父：キングカメハメハ
販売者：(有)ノーザンレーシング",440,ビキニブロンドの2022,牡,2/22,鹿,ブリックスアンドモルタル,ビキニブロンド,キングカメハメハ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.441
グレイトペイジの2022
牡　1/24生　黒鹿毛
父：エピファネイア
母：グレイトペイジ
母父：Roderic O'Connor
販売者：(株)タイヘイ牧場",441,グレイトペイジの2022,牡,1/24,黒鹿,エピファネイア,グレイトペイジ,Roderic O'Connor,(株)タイヘイ牧場,タイヘイボクジョウ,(株)タイヘイ牧場
"No.442
エンパイアブレイクの2022
牡　3/12生　黒鹿毛
父：キズナ
母：エンパイアブレイク
母父：エンパイアメーカー
販売者：(有)千代田牧場",442,エンパイアブレイクの2022,牡,3/12,黒鹿,キズナ,エンパイアブレイク,エンパイアメーカー,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.443
パーリーアヴェニューの2022
めす　2/15生　鹿毛
父：サトノダイヤモンド
母：パーリーアヴェニュー
母父：Anabaa
販売者：ノーザンファーム",443,パーリーアヴェニューの2022,めす,2/15,鹿,サトノダイヤモンド,パーリーアヴェニュー,Anabaa,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.444
フェイブルネージュの2022
牡　1/30生　鹿毛
父：ルーラーシップ
母：フェイブルネージュ
母父：ディープインパクト
販売者：社台ファーム",444,フェイブルネージュの2022,牡,1/30,鹿,ルーラーシップ,フェイブルネージュ,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.445
ディヴァインプレゼンスの2022
めす　3/26生　鹿毛
父：Karakontie
母：ディヴァインプレゼンス
母父：A.P.Indy
販売者：(株)レジェンドファーム",445,ディヴァインプレゼンスの2022,めす,3/26,鹿,Karakontie,ディヴァインプレゼンス,A.P.Indy,(株)レジェンドファーム,レジェンドファーム,(株)レジェンドファーム
"No.446
アイスパステルの2022
牡　3/17生　鹿毛
父：ドレフォン
母：アイスパステル
母父：Shackleford
販売者：(有)ノーザンレーシング",446,アイスパステルの2022,牡,3/17,鹿,ドレフォン,アイスパステル,Shackleford,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.447
レーヴルシードの2022
めす　3/12生　鹿毛
父：モーリス
母：レーヴルシード
母父：ディープインパクト
販売者：(株)ハシモトファーム",447,レーヴルシードの2022,めす,3/12,鹿,モーリス,レーヴルシード,ディープインパクト,(株)ハシモトファーム,ハシモトファーム,(株)ハシモトファーム
"No.448
ランドスケープの2022
牡　2/19生　黒鹿毛
父：イスラボニータ
母：ランドスケープ
母父：ジャスタウェイ
販売者：社台ファーム",448,ランドスケープの2022,牡,2/19,黒鹿,イスラボニータ,ランドスケープ,ジャスタウェイ,社台ファーム,シャダイファーム,社台ファーム
"No.449
プティフォリーの2022
めす　3/7生　鹿毛
父：リアルスティール
母：プティフォリー
母父：Australia
販売者：(有)ノーザンレーシング",449,プティフォリーの2022,めす,3/7,鹿,リアルスティール,プティフォリー,Australia,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.450
ジャストアスミッジの2022
牡　2/12生　芦毛
父：ロードカナロア
母：ジャストアスミッジ
母父：Into Mischief
販売者：田上 徹",450,ジャストアスミッジの2022,牡,2/12,芦,ロードカナロア,ジャストアスミッジ,Into Mischief,田上 徹,タガミトオル,田上　徹
"No.451
ティズトレメンダスの2022
牡　3/16生　栗毛
父：ダイワメジャー
母：ティズトレメンダス
母父：Tiz Wonderful
販売者：岡田スタッド",451,ティズトレメンダスの2022,牡,3/16,栗,ダイワメジャー,ティズトレメンダス,Tiz Wonderful,岡田スタッド,オカダスタッド,岡田スタッド
"No.452
リリレフアの2022
牡　2/2生　鹿毛
父：スワーヴリチャード
母：リリレフア
母父：ロードカナロア
販売者：ノーザンファーム",452,リリレフアの2022,牡,2/2,鹿,スワーヴリチャード,リリレフア,ロードカナロア,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.453
ヴェリタスマリコの2022
牡　2/7生　栗毛
父：ヘニーヒューズ
母：ヴェリタスマリコ
母父：キングカメハメハ
販売者：(有)岡田牧場",453,ヴェリタスマリコの2022,牡,2/7,栗,ヘニーヒューズ,ヴェリタスマリコ,キングカメハメハ,(有)岡田牧場,オカダボクジョウ,(有)岡田牧場
"No.454
ミスイヴァノヴィックの2022
牡　2/13生　鹿毛
父：リアルスティール
母：ミスイヴァノヴィック
母父：Captain Rio
販売者：(株)アスラン",454,ミスイヴァノヴィックの2022,牡,2/13,鹿,リアルスティール,ミスイヴァノヴィック,Captain Rio,(株)アスラン,アスラン,(株)アスラン
"No.455
フレイムタワーの2022
めす　1/15生　栗毛
父：ルヴァンスレーヴ
母：フレイムタワー
母父：ハーツクライ
販売者：(有)ノーザンレーシング",455,フレイムタワーの2022,めす,1/15,栗,ルヴァンスレーヴ,フレイムタワー,ハーツクライ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.456
ヴェルメンティーノの2022
牡　3/30生　鹿毛
父：リオンディーズ
母：ヴェルメンティーノ
母父：ダイワメジャー
販売者：社台ファーム",456,ヴェルメンティーノの2022,牡,3/30,鹿,リオンディーズ,ヴェルメンティーノ,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.457
インクレセントの2022
めす　1/31生　黒鹿毛
父：シスキン
母：インクレセント
母父：アグネスタキオン
販売者：追分ファーム",457,インクレセントの2022,めす,1/31,黒鹿,シスキン,インクレセント,アグネスタキオン,追分ファーム,オイワケファーム,追分ファーム
"No.458
ファディラーの2022
牡　1/31生　鹿毛
父：ミッキーアイル
母：ファディラー
母父：Monsun
販売者：(有)ノーザンレーシング",458,ファディラーの2022,牡,1/31,鹿,ミッキーアイル,ファディラー,Monsun,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.459
レジェンディストの2022
めす　2/20生　鹿毛
父：ナダル
母：レジェンディスト
母父：エンパイアメーカー
販売者：社台ファーム",459,レジェンディストの2022,めす,2/20,鹿,ナダル,レジェンディスト,エンパイアメーカー,社台ファーム,シャダイファーム,社台ファーム
"No.460
キャストインシルバーの2022
牡　4/28生　鹿毛
父：McKinzie
母：キャストインシルバー
母父：City Zip
販売者：フィールドラック(株)",460,キャストインシルバーの2022,牡,4/28,鹿,McKinzie,キャストインシルバー,City Zip,フィールドラック(株),フィールドラック,木村　秀則
"No.461
ランウェイデビューの2022
めす　2/28生　鹿毛
父：フィエールマン
母：ランウェイデビュー
母父：ストロングリターン
販売者：ノーザンファーム",461,ランウェイデビューの2022,めす,2/28,鹿,フィエールマン,ランウェイデビュー,ストロングリターン,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.462
アディクションの2022
牡　4/18生　芦毛
父：リオンディーズ
母：アディクション
母父：ハーツクライ
販売者：(株)オリオンファーム",462,アディクションの2022,牡,4/18,芦,リオンディーズ,アディクション,ハーツクライ,(株)オリオンファーム,オリオンファーム,(株)オリオンファーム
"No.463
レネーズタイタンの2022
めす　3/19生　鹿毛
父：キズナ
母：レネーズタイタン
母父：Bernstein
販売者：ラトロワンヌ(株)（共有代表）",463,レネーズタイタンの2022,めす,3/19,鹿,キズナ,レネーズタイタン,Bernstein,ラトロワンヌ(株)（共有代表）,ラトロワンヌ,(有)三嶋牧場
"No.464
キャリコの2022
牡　1/31生　鹿毛
父：モーリス
母：キャリコ
母父：ディープインパクト
販売者：(有)ノーザンレーシング",464,キャリコの2022,牡,1/31,鹿,モーリス,キャリコ,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.465
キャットタングの2022
めす　2/11生　鹿毛
父：アルアイン
母：キャットタング
母父：Tapit
販売者：社台ファーム",465,キャットタングの2022,めす,2/11,鹿,アルアイン,キャットタング,Tapit,社台ファーム,シャダイファーム,社台ファーム
"No.466
アルマリンピアの2022
牡　3/1生　鹿毛
父：リアルスティール
母：アルマリンピア
母父：タイキシャトル
販売者：(有)千代田牧場",466,アルマリンピアの2022,牡,3/1,鹿,リアルスティール,アルマリンピア,タイキシャトル,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.467
ラテラスの2022
めす　3/18生　栗毛
父：アドマイヤマーズ
母：ラテラス
母父：Harlan's Holiday
販売者：(有)ノーザンレーシング",467,ラテラスの2022,めす,3/18,栗,アドマイヤマーズ,ラテラス,Harlan's Holiday,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.468
カンカンガールの2022
牡　2/28生　栗毛
父：ダイワメジャー
母：カンカンガール
母父：Exchange Rate
販売者：社台ファーム",468,カンカンガールの2022,牡,2/28,栗,ダイワメジャー,カンカンガール,Exchange Rate,社台ファーム,シャダイファーム,社台ファーム
"No.469
イースターアイランドの2022
めす　2/19生　栗毛
父：ドレフォン
母：イースターアイランド
母父：Giant's Causeway
販売者：(有)日高大洋牧場",469,イースターアイランドの2022,めす,2/19,栗,ドレフォン,イースターアイランド,Giant's Causeway,(有)日高大洋牧場,ヒダカタイヨウボクジョウ,(有)日高大洋牧場
"No.470
エレクトラムの2022
牡　3/1生　鹿毛
父：キズナ
母：エレクトラム
母父：High Chaparral
販売者：(有)ノーザンレーシング",470,エレクトラムの2022,牡,3/1,鹿,キズナ,エレクトラム,High Chaparral,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.471
シャイニングパスの2022
めす　3/6生　鹿毛
父：ルーラーシップ
母：シャイニングパス
母父：Raven's Pass
販売者：(有)谷川牧場",471,シャイニングパスの2022,めす,3/6,鹿,ルーラーシップ,シャイニングパス,Raven's Pass,(有)谷川牧場,タニカワボクジョウ,(有)谷川牧場
"No.472
レディニンジャの2022
牡　3/6生　鹿毛
父：Nyquist
母：レディニンジャ
母父：Majesticperfection
販売者：下屋敷牧場",472,レディニンジャの2022,牡,3/6,鹿,Nyquist,レディニンジャ,Majesticperfection,下屋敷牧場,シモヤシキボクジョウ,下屋敷牧場
"No.473
レッドラヴィータの2022
めす　2/14生　栗毛
父：ドレフォン
母：レッドラヴィータ
母父：スペシャルウィーク
販売者：(有)ノーザンレーシング",473,レッドラヴィータの2022,めす,2/14,栗,ドレフォン,レッドラヴィータ,スペシャルウィーク,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.474
ミスラゴの2022
牡　2/9生　栗毛
父：ミッキーアイル
母：ミスラゴ
母父：Encosta De Lago
販売者：(株)Coco＆Co．",474,ミスラゴの2022,牡,2/9,栗,ミッキーアイル,ミスラゴ,Encosta De Lago,(株)Coco＆Co．,ココアンドコー,(株)門別牧場
"No.475
キラークイーンの2022
めす　2/25生　黒鹿毛
父：サトノクラウン
母：キラークイーン
母父：マジェスティックウォリアー
販売者：社台ファーム",475,キラークイーンの2022,めす,2/25,黒鹿,サトノクラウン,キラークイーン,マジェスティックウォリアー,社台ファーム,シャダイファーム,社台ファーム
"No.476
チェロキーメイドンの2022
めす　2/2生　鹿毛
父：キズナ
母：チェロキーメイドン
母父：Distorted Humor
販売者：(有)グランド牧場",476,チェロキーメイドンの2022,めす,2/2,鹿,キズナ,チェロキーメイドン,Distorted Humor,(有)グランド牧場,グランドボクジョウ,(有)グランド牧場
"No.477
ミスティックリップスの2022
牡　2/11生　黒鹿毛
父：キタサンブラック
母：ミスティックリップス
母父：ジェネラス
販売者：ノーザンファーム",477,ミスティックリップスの2022,牡,2/11,黒鹿,キタサンブラック,ミスティックリップス,ジェネラス,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.478
フレジエの2022
めす　2/26生　鹿毛
父：リアルスティール
母：フレジエ
母父：ハービンジャー
販売者：浦野 和由",478,フレジエの2022,めす,2/26,鹿,リアルスティール,フレジエ,ハービンジャー,浦野 和由,ウラノカズヨシ,中田　英樹
"No.479
レインオンザデューンの2022
牡　3/2生　鹿毛
父：ドゥラメンテ
母：レインオンザデューン
母父：Frankel
販売者：(有)飛野牧場",479,レインオンザデューンの2022,牡,3/2,鹿,ドゥラメンテ,レインオンザデューン,Frankel,(有)飛野牧場,トビノボクジョウ,(有)飛野牧場
"No.480
アルギュロスの2022
めす　2/9生　黒鹿毛
父：サトノクラウン
母：アルギュロス
母父：マンハッタンカフェ
販売者：ノーザンファーム",480,アルギュロスの2022,めす,2/9,黒鹿,サトノクラウン,アルギュロス,マンハッタンカフェ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.481
アンジュシュエットの2022
牡　4/9生　栗毛
父：オルフェーヴル
母：アンジュシュエット
母父：フレンチデピュティ
販売者：(有)桑田牧場",481,アンジュシュエットの2022,牡,4/9,栗,オルフェーヴル,アンジュシュエット,フレンチデピュティ,(有)桑田牧場,クワタボクジョウ,(有)桑田牧場
"No.482
リードザウインドの2022
めす　3/21生　鹿毛
父：シュヴァルグラン
母：リードザウインド
母父：キンシャサノキセキ
販売者：社台ファーム",482,リードザウインドの2022,めす,3/21,鹿,シュヴァルグラン,リードザウインド,キンシャサノキセキ,社台ファーム,シャダイファーム,社台ファーム
"No.483
アソルータの2022
牡　1/30生　栗毛
父：ハービンジャー
母：アソルータ
母父：ゼンノロブロイ
販売者：ノーザンファーム",483,アソルータの2022,牡,1/30,栗,ハービンジャー,アソルータ,ゼンノロブロイ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.484
ローズカリーナの2022
牡　3/30生　鹿毛
父：キタサンブラック
母：ローズカリーナ
母父：ハービンジャー
販売者：(有)岡田牧場（共有代表）",484,ローズカリーナの2022,牡,3/30,鹿,キタサンブラック,ローズカリーナ,ハービンジャー,(有)岡田牧場（共有代表）,オカダボクジョウ,(有)岡田牧場
"No.485
サンタフェチーフの2022
めす　3/9生　鹿毛
父：フィエールマン
母：サンタフェチーフ
母父：Wiesenpfad
販売者：(有)ノーザンレーシング",485,サンタフェチーフの2022,めす,3/9,鹿,フィエールマン,サンタフェチーフ,Wiesenpfad,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.486
サマーローズの2022
牡　2/4生　鹿毛
父：ミッキーアイル
母：サマーローズ
母父：ハービンジャー
販売者：追分ファーム",486,サマーローズの2022,牡,2/4,鹿,ミッキーアイル,サマーローズ,ハービンジャー,追分ファーム,オイワケファーム,追分ファーム
"No.487
メジャーフォルムの2022
めす　2/7生　栗毛
父：ブリックスアンドモルタル
母：メジャーフォルム
母父：ダイワメジャー
販売者：社台ファーム",487,メジャーフォルムの2022,めす,2/7,栗,ブリックスアンドモルタル,メジャーフォルム,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.488
メダリオンモチーフの2022
牡　3/4生　鹿毛
父：ミスターメロディ
母：メダリオンモチーフ
母父：キングカメハメハ
販売者：(有)ノーザンレーシング",488,メダリオンモチーフの2022,牡,3/4,鹿,ミスターメロディ,メダリオンモチーフ,キングカメハメハ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.489
セルフプリザヴェーションの2022
めす　3/7生　栗毛
父：エピファネイア
母：セルフプリザヴェーション
母父：Lion Heart
販売者：(有)パカパカファーム",489,セルフプリザヴェーションの2022,めす,3/7,栗,エピファネイア,セルフプリザヴェーション,Lion Heart,(有)パカパカファーム,パカパカファーム,(有)パカパカファーム
"No.490
ビーコンターンの2022
牡　4/17生　鹿毛
父：キズナ
母：ビーコンターン
母父：Shamardal
販売者：岡田スタッド",490,ビーコンターンの2022,牡,4/17,鹿,キズナ,ビーコンターン,Shamardal,岡田スタッド,オカダスタッド,岡田スタッド
"No.491
リアオリヴィアの2022
めす　1/13生　鹿毛
父：ナダル
母：リアオリヴィア
母父：ディープインパクト
販売者：(有)ノーザンレーシング",491,リアオリヴィアの2022,めす,1/13,鹿,ナダル,リアオリヴィア,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.492
ピリカクルの2022
牡　2/26生　鹿毛
父：サトノアラジン
母：ピリカクル
母父：オルフェーヴル
販売者：社台ファーム",492,ピリカクルの2022,牡,2/26,鹿,サトノアラジン,ピリカクル,オルフェーヴル,社台ファーム,シャダイファーム,社台ファーム
"No.493
ミリオンセラーⅡの2022
牡　3/6生　黒鹿毛
父：リオンディーズ
母：ミリオンセラーⅡ
母父：A.P.Indy
販売者：(有)千代田牧場",493,ミリオンセラーⅡの2022,牡,3/6,黒鹿,リオンディーズ,ミリオンセラーⅡ,A.P.Indy,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.494
レーヴドゥラメールの2022
牡　2/27生　鹿毛
父：キタサンブラック
母：レーヴドゥラメール
母父：ロードカナロア
販売者：吉田 俊介",494,レーヴドゥラメールの2022,牡,2/27,鹿,キタサンブラック,レーヴドゥラメール,ロードカナロア,吉田 俊介,ヨシダシュンスケ,ノーザンファーム
"No.495
オッティマルーチェの2022
めす　2/10生　鹿毛
父：ミッキーアイル
母：オッティマルーチェ
母父：Fusaichi Pegasus
販売者：社台ファーム",495,オッティマルーチェの2022,めす,2/10,鹿,ミッキーアイル,オッティマルーチェ,Fusaichi Pegasus,社台ファーム,シャダイファーム,社台ファーム
"No.496
アグネスナチュラルの2022
牡　4/23生　鹿毛
父：ロードカナロア
母：アグネスナチュラル
母父：サクラバクシンオー
販売者：(有)高昭牧場",496,アグネスナチュラルの2022,牡,4/23,鹿,ロードカナロア,アグネスナチュラル,サクラバクシンオー,(有)高昭牧場,コウショウボクジョウ,(有)高昭牧場
"No.497
トスアップの2022
めす　3/17生　鹿毛
父：サトノアラジン
母：トスアップ
母父：ジャスタウェイ
販売者：(有)ノーザンレーシング",497,トスアップの2022,めす,3/17,鹿,サトノアラジン,トスアップ,ジャスタウェイ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.498
欠場
　生　毛
父：
母：
母父：
販売者：",498,欠場,,,,,,,,,
"No.499
アッシュケークの2022
牡　4/26生　栗毛
父：ミッキーアイル
母：アッシュケーク
母父：タイキシャトル
販売者：(有)大狩部牧場",499,アッシュケークの2022,牡,4/26,栗,ミッキーアイル,アッシュケーク,タイキシャトル,(有)大狩部牧場,オオカリベボクジョウ,(有)大狩部牧場
"No.500
イェーガーオレンジの2022
牡　1/27生　黒鹿毛
父：ブリックスアンドモルタル
母：イェーガーオレンジ
母父：ダイワメジャー
販売者：ノーザンファーム",500,イェーガーオレンジの2022,牡,1/27,黒鹿,ブリックスアンドモルタル,イェーガーオレンジ,ダイワメジャー,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.501
ハンティングシーズンの2022
めす　2/14生　黒鹿毛
父：Caravaggio
母：ハンティングシーズン
母父：Pioneerof the Nile
販売者：(有)下河辺牧場",501,ハンティングシーズンの2022,めす,2/14,黒鹿,Caravaggio,ハンティングシーズン,Pioneerof the Nile,(有)下河辺牧場,シモコウベボクジョウ,(有)下河辺牧場
"No.502
ウエスタンビジューの2022
牡　4/13生　鹿毛
父：ダイワメジャー
母：ウエスタンビジュー
母父：エンパイアメーカー
販売者：(株)ウエスタンファーム",502,ウエスタンビジューの2022,牡,4/13,鹿,ダイワメジャー,ウエスタンビジュー,エンパイアメーカー,(株)ウエスタンファーム,ウエスタンファーム,(株)ウエスタンファーム
"No.503
プリンセスノンコの2022
めす　2/13生　鹿毛
父：トーセンラー
母：プリンセスノンコ
母父：Orb
販売者：社台ファーム",503,プリンセスノンコの2022,めす,2/13,鹿,トーセンラー,プリンセスノンコ,Orb,社台ファーム,シャダイファーム,社台ファーム
"No.504
サクレディーヴァの2022
牡　4/6生　鹿毛
父：オルフェーヴル
母：サクレディーヴァ
母父：クロフネ
販売者：(株)アスラン",504,サクレディーヴァの2022,牡,4/6,鹿,オルフェーヴル,サクレディーヴァ,クロフネ,(株)アスラン,アスラン,(株)アスラン
"No.505
デイトラインの2022
めす　1/21生　栗毛
父：ミッキーアイル
母：デイトライン
母父：Zoffany
販売者：ノーザンファーム",505,デイトラインの2022,めす,1/21,栗,ミッキーアイル,デイトライン,Zoffany,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.506
レディオブキャメロットの2022
牡　2/14生　黒鹿毛
父：キズナ
母：レディオブキャメロット
母父：Montjeu
販売者：(株)タイヘイ牧場",506,レディオブキャメロットの2022,牡,2/14,黒鹿,キズナ,レディオブキャメロット,Montjeu,(株)タイヘイ牧場,タイヘイボクジョウ,(株)タイヘイ牧場
"No.507
リップスポイズンの2022
めす　2/4生　鹿毛
父：リアルスティール
母：リップスポイズン
母父：Mamool
販売者：(有)ノーザンレーシング",507,リップスポイズンの2022,めす,2/4,鹿,リアルスティール,リップスポイズン,Mamool,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.508
ステージディレクションの2022
牡　3/8生　鹿毛
父：City of Light
母：ステージディレクション
母父：Malibu Moon
販売者：(有)岩見牧場",508,ステージディレクションの2022,牡,3/8,鹿,City of Light,ステージディレクション,Malibu Moon,(有)岩見牧場,イワミボクジョウ,(有)岩見牧場
"No.509
ナチュラルスタンスの2022
めす　2/10生　芦毛
父：レッドファルクス
母：ナチュラルスタンス
母父：フジキセキ
販売者：社台ファーム",509,ナチュラルスタンスの2022,めす,2/10,芦,レッドファルクス,ナチュラルスタンス,フジキセキ,社台ファーム,シャダイファーム,社台ファーム
"No.510
スプレンダークランの2022
牡　1/31生　鹿毛
父：ニューイヤーズデイ
母：スプレンダークラン
母父：ルーラーシップ
販売者：ノーザンファーム",510,スプレンダークランの2022,牡,1/31,鹿,ニューイヤーズデイ,スプレンダークラン,ルーラーシップ,ノーザンファーム,ノーザンファーム,ノーザンファーム
"No.511
レイヌドネージュの2022
めす　2/4生　栗毛
父：ブリックスアンドモルタル
母：レイヌドネージュ
母父：フジキセキ
販売者：追分ファーム",511,レイヌドネージュの2022,めす,2/4,栗,ブリックスアンドモルタル,レイヌドネージュ,フジキセキ,追分ファーム,オイワケファーム,追分ファーム
"No.512
シティウェルズの2022
牡　3/19生　栗毛
父：シニスターミニスター
母：シティウェルズ
母父：City Zip
販売者：(有)岡田牧場",512,シティウェルズの2022,牡,3/19,栗,シニスターミニスター,シティウェルズ,City Zip,(有)岡田牧場,オカダボクジョウ,(有)岡田牧場
"No.513
ラクアミの2022
めす　2/15生　黒鹿毛
父：ハービンジャー
母：ラクアミ
母父：ダイワメジャー
販売者：(有)ノーザンレーシング",513,ラクアミの2022,めす,2/15,黒鹿,ハービンジャー,ラクアミ,ダイワメジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファーム
"No.514
ベラフォレスタの2022
牡　3/19生　黒鹿毛
父：ロゴタイプ
母：ベラフォレスタ
母父：ゼンノロブロイ
販売者：社台ファーム",514,ベラフォレスタの2022,牡,3/19,黒鹿,ロゴタイプ,ベラフォレスタ,ゼンノロブロイ,社台ファーム,シャダイファーム,社台ファーム
