コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.140
インヴァリダの2021
牡　4/9生　栗毛
父：Palace Malice
母：インヴァリダ
母父：Street Cry
販売者：(有)大栄牧場（共有代表）",140,インヴァリダの2021,牡,4/9,栗,Palace Malice,インヴァリダ,Street Cry,(有)大栄牧場（共有代表）,ダイエイボクジョウ,カルペディエム　メイド
"No.141
サルスエラの2021
めす　4/27生　黒鹿毛
父：エピファネイア
母：サルスエラ
母父：マンハッタンカフェ
販売者：(株)レイクヴィラファーム",141,サルスエラの2021,めす,4/27,黒鹿,エピファネイア,サルスエラ,マンハッタンカフェ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.142
カールファターレの2021
牡　3/27生　鹿毛
父：ドレフォン
母：カールファターレ
母父：キングカメハメハ
販売者：ノーザンファーム",142,カールファターレの2021,牡,3/27,鹿,ドレフォン,カールファターレ,キングカメハメハ,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.143
レッドカチューシャの2021
めす　3/8生　鹿毛
父：ハービンジャー
母：レッドカチューシャ
母父：ディープインパクト
販売者：社台ファーム",143,レッドカチューシャの2021,めす,3/8,鹿,ハービンジャー,レッドカチューシャ,ディープインパクト,社台ファーム,シャダイファーム,社台ファーム
"No.144
レーヴドフィユの2021
牡　4/10生　栗毛
父：レイデオロ
母：レーヴドフィユ
母父：Storm Cat
販売者：(有)千代田牧場",144,レーヴドフィユの2021,牡,4/10,栗,レイデオロ,レーヴドフィユ,Storm Cat,(有)千代田牧場,チヨダボクジョウ,(有)千代田牧場
"No.145
モーヴサファイアの2021
めす　1/13生　鹿毛
父：ブリックスアンドモルタル
母：モーヴサファイア
母父：ハービンジャー
販売者：(有)ノーザンレーシング",145,モーヴサファイアの2021,めす,1/13,鹿,ブリックスアンドモルタル,モーヴサファイア,ハービンジャー,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.146
ペディクラリスの2021
牡　3/12生　鹿毛
父：ロードカナロア
母：ペディクラリス
母父：サンデーサイレンス
販売者：社台ファーム",146,ペディクラリスの2021,牡,3/12,鹿,ロードカナロア,ペディクラリス,サンデーサイレンス,社台ファーム,シャダイファーム,(有)社台コーポレーション白老ファームYearling
"No.147
ベラルーサの2021
めす　3/5生　鹿毛
父：リアルスティール
母：ベラルーサ
母父：Orpen
販売者：(株)ハクレイファーム",147,ベラルーサの2021,めす,3/5,鹿,リアルスティール,ベラルーサ,Orpen,(株)ハクレイファーム,ハクレイファーム,(株)ハクレイファーム
"No.148
スピークソフトリーの2021
牡　1/25生　栗毛
父：モーリス
母：スピークソフトリー
母父：アルカセット
販売者：ノーザンファーム",148,スピークソフトリーの2021,牡,1/25,栗,モーリス,スピークソフトリー,アルカセット,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.149
パセンジャーシップの2021
めす　1/23生　栗毛
父：エピファネイア
母：パセンジャーシップ
母父：ダイワメジャー
販売者：社台ファーム",149,パセンジャーシップの2021,めす,1/23,栗,エピファネイア,パセンジャーシップ,ダイワメジャー,社台ファーム,シャダイファーム,社台ファーム
"No.150
ヒラボクビジンの2021
牡　3/9生　鹿毛
父：シニスターミニスター
母：ヒラボクビジン
母父：ブライアンズタイム
販売者：(有)谷川牧場",150,ヒラボクビジンの2021,牡,3/9,鹿,シニスターミニスター,ヒラボクビジン,ブライアンズタイム,(有)谷川牧場,タニカワボクジョウ,(有)谷川牧場
"No.151
シャンブルドットの2021
めす　3/29生　栗毛
父：スワーヴリチャード
母：シャンブルドット
母父：Lope de Vega
販売者：(有)ノーザンレーシング",151,シャンブルドットの2021,めす,3/29,栗,スワーヴリチャード,シャンブルドット,Lope de Vega,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.152
ラッキーナンバーの2021
牡　5/8生　黒鹿毛
父：Omaha Beach
母：ラッキーナンバー
母父：Smart Strike
販売者：(有)浜本牧場（共有代表）",152,ラッキーナンバーの2021,牡,5/8,黒鹿,Omaha Beach,ラッキーナンバー,Smart Strike,(有)浜本牧場（共有代表）,ハマモトボクジョウ,カルペディエム　メイド
"No.153
イタリアンホワイトの2021
めす　1/27生　黒鹿毛
父：ルーラーシップ
母：イタリアンホワイト
母父：ステイゴールド
販売者：(株)レイクヴィラファーム",153,イタリアンホワイトの2021,めす,1/27,黒鹿,ルーラーシップ,イタリアンホワイト,ステイゴールド,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.154
ベッラレイアの2021
牡　2/12生　鹿毛
父：アルアイン
母：ベッラレイア
母父：ナリタトップロード
販売者：(有)ノーザンレーシング",154,ベッラレイアの2021,牡,2/12,鹿,アルアイン,ベッラレイア,ナリタトップロード,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.155
コムの2021
牡　2/26生　鹿毛
父：Golden Horn
母：コム
母父：Le Havre
販売者：社台ファーム",155,コムの2021,牡,2/26,鹿,Golden Horn,コム,Le Havre,社台ファーム,シャダイファーム,社台ファーム
"No.156
アドマイヤキラメキの2021
めす　1/25生　鹿毛
父：サトノアラジン
母：アドマイヤキラメキ
母父：エンドスウィープ
販売者：(有)ノーザンレーシング",156,アドマイヤキラメキの2021,めす,1/25,鹿,サトノアラジン,アドマイヤキラメキ,エンドスウィープ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.157
ヤマノフェアリーの2021
牡　2/25生　鹿毛
父：モーリス
母：ヤマノフェアリー
母父：ディープインパクト
販売者：(株)チャンピオンズファーム",157,ヤマノフェアリーの2021,牡,2/25,鹿,モーリス,ヤマノフェアリー,ディープインパクト,(株)チャンピオンズファーム,チャンピオンズファーム,(株)チャンピオンズファーム
"No.158
ギーニョの2021
牡　4/1生　鹿毛
父：レイデオロ
母：ギーニョ
母父：サンデーサイレンス
販売者：(有)ノーザンレーシング",158,ギーニョの2021,牡,4/1,鹿,レイデオロ,ギーニョ,サンデーサイレンス,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.159
クリスティザーの2021
めす　3/6生　栗毛
父：Gun Runner
母：クリスティザー
母父：Tapizar
販売者：(株)千里ファーム",159,クリスティザーの2021,めす,3/6,栗,Gun Runner,クリスティザー,Tapizar,(株)千里ファーム,センリファーム,エバグリーンセールスコンサインメント
"No.160
フリアアステカの2021
牡　3/9生　黒鹿毛
父：キズナ
母：フリアアステカ
母父：Zensational
販売者：社台ファーム",160,フリアアステカの2021,牡,3/9,黒鹿,キズナ,フリアアステカ,Zensational,社台ファーム,シャダイファーム,社台ファーム
"No.161
アーキテクチャーの2021
めす　3/12生　鹿毛
父：リアルスティール
母：アーキテクチャー
母父：Zoffany
販売者：(有)ノーザンレーシング",161,アーキテクチャーの2021,めす,3/12,鹿,リアルスティール,アーキテクチャー,Zoffany,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.162
チャームザワールドの2021
牡　2/17生　鹿毛
父：エピファネイア
母：チャームザワールド
母父：ロードカナロア
販売者：追分ファーム",162,チャームザワールドの2021,牡,2/17,鹿,エピファネイア,チャームザワールド,ロードカナロア,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.163
スターシンフォニーの2021
めす　4/9生　鹿毛
父：マジェスティックウォリアー
母：スターシンフォニー
母父：アグネスタキオン
販売者：(株)レイクヴィラファーム",163,スターシンフォニーの2021,めす,4/9,鹿,マジェスティックウォリアー,スターシンフォニー,アグネスタキオン,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.164
ラーゴブルーの2021
牡　2/10生　栗毛
父：ニューイヤーズデイ
母：ラーゴブルー
母父：ハーツクライ
販売者：(有)ノーザンレーシング",164,ラーゴブルーの2021,牡,2/10,栗,ニューイヤーズデイ,ラーゴブルー,ハーツクライ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.165
シャンパンフルートの2021
めす　2/3生　芦毛
父：リオンディーズ
母：シャンパンフルート
母父：クロフネ
販売者：(有)下河辺牧場",165,シャンパンフルートの2021,めす,2/3,芦,リオンディーズ,シャンパンフルート,クロフネ,(有)下河辺牧場,シモコウベボクジョウ,(有)下河辺牧場
"No.166
エオリアンハープの2021
牡　3/13生　栗毛
父：ブリックスアンドモルタル
母：エオリアンハープ
母父：キングカメハメハ
販売者：社台ファーム",166,エオリアンハープの2021,牡,3/13,栗,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ,社台ファーム,シャダイファーム,社台ファーム
"No.167
マンビアの2021
めす　4/3生　鹿毛
父：キズナ
母：マンビア
母父：アルデバランⅡ
販売者：(有)ノーザンレーシング",167,マンビアの2021,めす,4/3,鹿,キズナ,マンビア,アルデバランⅡ,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
