コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.112
パルティール２０２１
牡　4月11日生　黒鹿毛
父：ホッコータルマエ
母：パルティール
母父：スペシャルウィーク
今牧場",7/26（火）,112,パルティール２０２１,牡,黒鹿,4月11日,ホッコータルマエ,パルティール,スペシャルウィーク,今牧場,カルペディエム　メイド（奥山牧場内）,112
"No.113
アドマイヤラブ２０２１
♀　3月28日生　鹿毛
父：デクラレーションオブウォー
母：アドマイヤラブ
母父：アドマイヤムーン
㈲辻牧場",7/26（火）,113,アドマイヤラブ２０２１,♀,鹿,3月28日,デクラレーションオブウォー,アドマイヤラブ,アドマイヤムーン,㈲辻牧場,㈲辻牧場,113
"No.114
インドリヤ２０２１
牡　3月29日生　栗毛
父：シュヴァルグラン
母：インドリヤ
母父：Stormy Atlantic
シンボリ牧場",7/26（火）,114,インドリヤ２０２１,牡,栗,3月29日,シュヴァルグラン,インドリヤ,Stormy Atlantic,シンボリ牧場,㈱門別牧場,114
"No.115
バロネスサッチャー２０２１
牡　2月26日生　栗毛
父：カリフォルニアクローム
母：バロネスサッチャー
母父：ヨハネスブルグ
㈲前野牧場",7/26（火）,115,バロネスサッチャー２０２１,牡,栗,2月26日,カリフォルニアクローム,バロネスサッチャー,ヨハネスブルグ,㈲前野牧場,㈲前野牧場,115
"No.116
スカイブルーダイヤ２０２１
牡　2月16日生　黒鹿毛
父：ブリックスアンドモルタル
母：スカイブルーダイヤ
母父：ロードカナロア
㈱前田ファーム",7/26（火）,116,スカイブルーダイヤ２０２１,牡,黒鹿,2月16日,ブリックスアンドモルタル,スカイブルーダイヤ,ロードカナロア,㈱前田ファーム,㈲チェスナットファーム,116
"No.117
ピュアゴシップ２０２１
♀　3月21日生　鹿毛
父：シルバーステート
母：ピュアゴシップ
母父：Pure Prize
森永牧場",7/26（火）,117,ピュアゴシップ２０２１,♀,鹿,3月21日,シルバーステート,ピュアゴシップ,Pure Prize,森永牧場,㈲日高軽種馬共同育成公社,117
"No.118
アナザーワールド２０２１
牡　5月5日生　栗毛
父：スワーヴリチャード
母：アナザーワールド
母父：ディープインパクト
タバタファーム",7/26（火）,118,アナザーワールド２０２１,牡,栗,5月5日,スワーヴリチャード,アナザーワールド,ディープインパクト,タバタファーム,㈱ＭＡＸトレーニングファーム,118
"No.119
リミックスアルバム２０２１
♀　4月15日生　鹿毛
父：サンダースノー
母：リミックスアルバム
母父：キングカメハメハ
田中スタッド",7/26（火）,119,リミックスアルバム２０２１,♀,鹿,4月15日,サンダースノー,リミックスアルバム,キングカメハメハ,田中スタッド,田中スタッド,119
"No.120
ホームタイム２０２１
牡　4月7日生　鹿毛
父：リアルスティール
母：ホームタイム
母父：Dubai Destination
㈲矢野牧場",7/26（火）,120,ホームタイム２０２１,牡,鹿,4月7日,リアルスティール,ホームタイム,Dubai Destination,㈲矢野牧場,㈲矢野牧場,120
"No.121
オースミミズホ２０２１
牡　5月1日生　鹿毛
父：ドレフォン
母：オースミミズホ
母父：スペシャルウィーク
鮫川　啓一",7/26（火）,121,オースミミズホ２０２１,牡,鹿,5月1日,ドレフォン,オースミミズホ,スペシャルウィーク,鮫川　啓一,㈱木村育成牧場,121
