コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.1
セシリア２０２１
牡　1月10日生　鹿毛
父：ドゥラメンテ
母：セシリア
母父：アグネスタキオン
㈲天羽牧場",7/26（火）,1,セシリア２０２１,牡,鹿,1月10日,ドゥラメンテ,セシリア,アグネスタキオン,㈲天羽牧場,㈲荻伏共同育成場,1
"No.2
ファーストレディ２０２１
牡　5月8日生　鹿毛
父：ニューイヤーズデイ
母：ファーストレディ
母父：スマートボーイ
㈲グランド牧場",7/26（火）,2,ファーストレディ２０２１,牡,鹿,5月8日,ニューイヤーズデイ,ファーストレディ,スマートボーイ,㈲グランド牧場,㈲グランド牧場,2
"No.3
プリンセスオブザスターズ２０２１
牡　1月26日生　鹿毛
父：デクラレーションオブウォー
母：プリンセスオブザスターズ
母父：Sea The Stars
㈱タイヘイ牧場",7/26（火）,3,プリンセスオブザスターズ２０２１,牡,鹿,1月26日,デクラレーションオブウォー,プリンセスオブザスターズ,Sea The Stars,㈱タイヘイ牧場,㈱タイヘイ牧場,3
"No.4
テメノス２０２１
牡　3月19日生　栗毛
父：マジェスティックウォリアー
母：テメノス
母父：ハーツクライ
（同）Ｊｕｎｎｙ",7/26（火）,4,テメノス２０２１,牡,栗,3月19日,マジェスティックウォリアー,テメノス,ハーツクライ,（同）Ｊｕｎｎｙ,イワミ牧場,4
"No.5
アマルフィターナ２０２１
牡　2月21日生　鹿毛
父：キズナ
母：アマルフィターナ
母父：シンボリクリスエス
㈲アクセス・ワン",7/26（火）,5,アマルフィターナ２０２１,牡,鹿,2月21日,キズナ,アマルフィターナ,シンボリクリスエス,㈲アクセス・ワン,㈲チェスナットファーム,5
"No.6
レッドビアンカ２０２１
牡　2月25日生　栗毛
父：コパノリッキー
母：レッドビアンカ
母父：ハードスパン
㈱タガミファーム",7/26（火）,6,レッドビアンカ２０２１,牡,栗,2月25日,コパノリッキー,レッドビアンカ,ハードスパン,㈱タガミファーム,㈱ＭＡＸトレーニングファーム,6
"No.7
バリアーモ２０２１
♀　4月9日生　鹿毛
父：キタサンブラック
母：バリアーモ
母父：シンボリクリスエス
㈲新冠橋本牧場",7/26（火）,7,バリアーモ２０２１,♀,鹿,4月9日,キタサンブラック,バリアーモ,シンボリクリスエス,㈲新冠橋本牧場,㈲新冠橋本牧場,7
"No.8
ダイワドレッサー２０２１
牡　3月17日生　栗毛
父：カリフォルニアクローム
母：ダイワドレッサー
母父：ネオユニヴァース
㈲矢野牧場",7/26（火）,8,ダイワドレッサー２０２１,牡,栗,3月17日,カリフォルニアクローム,ダイワドレッサー,ネオユニヴァース,㈲矢野牧場,㈲矢野牧場,8
"No.9
アリデッド２０２１
牡　4月11日生　鹿毛
父：ハービンジャー
母：アリデッド
母父：ダンスインザダーク
㈲杵臼牧場",7/26（火）,9,アリデッド２０２１,牡,鹿,4月11日,ハービンジャー,アリデッド,ダンスインザダーク,㈲杵臼牧場,アーカムパートナーファーム,9
"No.10
モンプティクール２０２１
牡　1月26日生　鹿毛
父：リオンディーズ
母：モンプティクール
母父：クロフネ
㈱ハシモトファーム",7/26（火）,10,モンプティクール２０２１,牡,鹿,1月26日,リオンディーズ,モンプティクール,クロフネ,㈱ハシモトファーム,㈱ハシモトファーム,10
"No.11
キャルスカイ２０２１
牡　3月11日生　栗毛
父：アジアエクスプレス
母：キャルスカイ
母父：ダイワメジャー
㈲千代田牧場",7/26（火）,11,キャルスカイ２０２１,牡,栗,3月11日,アジアエクスプレス,キャルスカイ,ダイワメジャー,㈲千代田牧場,㈲千代田牧場,11
"No.12
マイルストーン２０２１
牡　4月7日生　鹿毛
父：サトノアラジン
母：マイルストーン
母父：タイキシャトル
㈲ヤマイチ牧場",7/26（火）,12,マイルストーン２０２１,牡,鹿,4月7日,サトノアラジン,マイルストーン,タイキシャトル,㈲ヤマイチ牧場,クラックステーブル,12
"No.13
エポキシ２０２１
牡　3月3日生　青鹿毛
父：ドレフォン
母：エポキシ
母父：ディープインパクト
㈲広田牧場",7/26（火）,13,エポキシ２０２１,牡,青鹿,3月3日,ドレフォン,エポキシ,ディープインパクト,㈲広田牧場,エバグリーンセールスコンサインメント,13
"No.14
マイティーボタン２０２１
♀　2月18日生　鹿毛
父：シルバーステート
母：マイティーボタン
母父：タイキシャトル
西村牧場",7/26（火）,14,マイティーボタン２０２１,♀,鹿,2月18日,シルバーステート,マイティーボタン,タイキシャトル,西村牧場,ゴールドアップホースカンパニー（泊津分場）,14
"No.15
ヒロコファンタジー２０２１
牡　4月30日生　鹿毛
父：タリスマニック
母：ヒロコファンタジー
母父：ゼンノロブロイ
㈲大林ファーム",7/26（火）,15,ヒロコファンタジー２０２１,牡,鹿,4月30日,タリスマニック,ヒロコファンタジー,ゼンノロブロイ,㈲大林ファーム,㈱山﨑ＳＴＡＢＬＥ,15
"No.16
プライマルスノー２０２１
牡　4月6日生　鹿毛
父：サンダースノー
母：プライマルスノー
母父：Langfuhr
青藍牧場",7/26（火）,16,プライマルスノー２０２１,牡,鹿,4月6日,サンダースノー,プライマルスノー,Langfuhr,青藍牧場,㈲三石軽種馬共同育成センター,16
"No.17
テイケイラピッド２０２１
牡　3月21日生　鹿毛
父：アルアイン
母：テイケイラピッド
母父：スニッツェル
㈲高昭牧場",7/26（火）,17,テイケイラピッド２０２１,牡,鹿,3月21日,アルアイン,テイケイラピッド,スニッツェル,㈲高昭牧場,㈲荻伏共同育成場,17
"No.18
チューリップスガロア２０２１
牡　3月24日生　鹿毛
父：Yoshida
母：チューリップスガロア
母父：Giant's Causeway
㈲大栄牧場",7/26（火）,18,チューリップスガロア２０２１,牡,鹿,3月24日,Yoshida,チューリップスガロア,Giant's Causeway,㈲大栄牧場,カルペディエム　メイド（奥山牧場内）,18
"No.19
リリウオカラニ２０２１
♀　1月29日生　黒鹿毛
父：リオンディーズ
母：リリウオカラニ
母父：Grindstone
㈲パカパカファーム",7/26（火）,19,リリウオカラニ２０２１,♀,黒鹿,1月29日,リオンディーズ,リリウオカラニ,Grindstone,㈲パカパカファーム,㈲パカパカファーム（厚賀分場）,19
"No.20
マンボビーン２０２１
牡　4月1日生　鹿毛
父：カリフォルニアクローム
母：マンボビーン
母父：スズカマンボ
㈲岡田牧場",7/26（火）,20,マンボビーン２０２１,牡,鹿,4月1日,カリフォルニアクローム,マンボビーン,スズカマンボ,㈲岡田牧場,㈲目名共同トレーニングセンター,20
"No.21
ウエストコースト２０２１
♀　1月23日生　鹿毛
父：ニューイヤーズデイ
母：ウエストコースト
母父：シンボリクリスエス
㈱レジェンドファーム",7/26（火）,21,ウエストコースト２０２１,♀,鹿,1月23日,ニューイヤーズデイ,ウエストコースト,シンボリクリスエス,㈱レジェンドファーム,㈱レジェンドファーム,21
"No.22
ライトフェアリー２０２１
♀　1月6日生　鹿毛
父：デクラレーションオブウォー
母：ライトフェアリー
母父：サムライハート
シンボリ牧場",7/26（火）,22,ライトフェアリー２０２１,♀,鹿,1月6日,デクラレーションオブウォー,ライトフェアリー,サムライハート,シンボリ牧場,シンボリ牧場,22
"No.23
マリンブラスト２０２１
牡　2月14日生　栗毛
父：モーニン
母：マリンブラスト
母父：アグネスデジタル
松木　加代",7/26（火）,23,マリンブラスト２０２１,牡,栗,2月14日,モーニン,マリンブラスト,アグネスデジタル,松木　加代,㈱ＮＹＳ,23
"No.24
ルヴァンクレール２０２１
牡　5月30日生　鹿毛
父：ロジャーバローズ
母：ルヴァンクレール
母父：Danehill Dancer
㈲市川ファーム",7/26（火）,24,ルヴァンクレール２０２１,牡,鹿,5月30日,ロジャーバローズ,ルヴァンクレール,Danehill Dancer,㈲市川ファーム,㈲チェスナットファーム,24
"No.25
ディアマンティナ２０２１
牡　5月17日生　青鹿毛
父：キタサンブラック
母：ディアマンティナ
母父：Seeking the Gold
下屋敷牧場",7/26（火）,25,ディアマンティナ２０２１,牡,青鹿,5月17日,キタサンブラック,ディアマンティナ,Seeking the Gold,下屋敷牧場,Ｔｅａｍ　Ｕｎｉｔｙ,25
"No.26
ラヴァーズロック２０２１
♀　2月24日生　栗毛
父：ドレフォン
母：ラヴァーズロック
母父：ヘニーヒューズ
㈱チャンピオンズファーム",7/26（火）,26,ラヴァーズロック２０２１,♀,栗,2月24日,ドレフォン,ラヴァーズロック,ヘニーヒューズ,㈱チャンピオンズファーム,㈱チャンピオンズファーム,26
"No.27
ラビルキン２０２１
牡　1月21日生　青鹿毛
父：キズナ
母：ラビルキン
母父：Indygo Shiner
㈱ハクレイファーム",7/26（火）,27,ラビルキン２０２１,牡,青鹿,1月21日,キズナ,ラビルキン,Indygo Shiner,㈱ハクレイファーム,㈱ハクレイファーム,27
"No.28
ギブユースマイル２０２１
牡　2月19日生　黒鹿毛
父：キンシャサノキセキ
母：ギブユースマイル
母父：エンパイアメーカー
㈲千代田牧場",7/26（火）,28,ギブユースマイル２０２１,牡,黒鹿,2月19日,キンシャサノキセキ,ギブユースマイル,エンパイアメーカー,㈲千代田牧場,㈲千代田牧場,28
"No.29
ファッションストリート２０２１
牡　4月18日生　鹿毛
父：カリフォルニアクローム
母：ファッションストリート
母父：ストリートセンス
㈲桜井牧場",7/26（火）,29,ファッションストリート２０２１,牡,鹿,4月18日,カリフォルニアクローム,ファッションストリート,ストリートセンス,㈲桜井牧場,㈲パイオニアファーム,29
"No.30
パラフレーズ２０２１
牡　4月22日生　青鹿毛
父：ドゥラメンテ
母：パラフレーズ
母父：Pivotal
㈲笠松牧場",7/26（火）,30,パラフレーズ２０２１,牡,青鹿,4月22日,ドゥラメンテ,パラフレーズ,Pivotal,㈲笠松牧場,㈲笠松牧場,30
"No.31
インプレッシヴ２０２１
♀　3月2日生　青鹿毛
父：バゴ
母：インプレッシヴ
母父：オンファイア
ゼットステーブル",7/26（火）,31,インプレッシヴ２０２１,♀,青鹿,3月2日,バゴ,インプレッシヴ,オンファイア,ゼットステーブル,ゼットステーブル,31
"No.32
レッドエレノア２０２１
牡　3月27日生　青鹿毛
父：ドレフォン
母：レッドエレノア
母父：ハーツクライ
㈲矢野牧場",7/26（火）,32,レッドエレノア２０２１,牡,青鹿,3月27日,ドレフォン,レッドエレノア,ハーツクライ,㈲矢野牧場,㈲矢野牧場,32
"No.33
ラスエモーショネス２０２１
牡　3月7日生　鹿毛
父：ダイワメジャー
母：ラスエモーショネス
母父：Fastnet Rock
坂本　智広",7/26（火）,33,ラスエモーショネス２０２１,牡,鹿,3月7日,ダイワメジャー,ラスエモーショネス,Fastnet Rock,坂本　智広,坂本　智広,33
"No.34
ソルダテッサ２０２１
♀　4月5日生　鹿毛
父：リオンディーズ
母：ソルダテッサ
母父：フレンチデピュティ
追分ファーム",7/26（火）,34,ソルダテッサ２０２１,♀,鹿,4月5日,リオンディーズ,ソルダテッサ,フレンチデピュティ,追分ファーム,白老ファームＹｅａｒｌｉｎｇ,34
"No.35
アドマイヤレッド２０２１
♀　4月24日生　鹿毛
父：サトノダイヤモンド
母：アドマイヤレッド
母父：ストラヴィンスキー
㈲藤沢牧場",7/26（火）,35,アドマイヤレッド２０２１,♀,鹿,4月24日,サトノダイヤモンド,アドマイヤレッド,ストラヴィンスキー,㈲藤沢牧場,エバグリーンセールスコンサインメント,35
"No.36
カシマフラワー２０２１
♀　4月13日生　鹿毛
父：デクラレーションオブウォー
母：カシマフラワー
母父：ヘクタープロテクター
㈲北島牧場",7/26（火）,36,カシマフラワー２０２１,♀,鹿,4月13日,デクラレーションオブウォー,カシマフラワー,ヘクタープロテクター,㈲北島牧場,㈲北島牧場,36
"No.37
グーテデロワ２０２１
牡　3月14日生　黒鹿毛
父：パイロ
母：グーテデロワ
母父：スペシャルウィーク
田中　裕之",7/26（火）,37,グーテデロワ２０２１,牡,黒鹿,3月14日,パイロ,グーテデロワ,スペシャルウィーク,田中　裕之,㈲浦河育成センター,37
"No.38
ラミアカーサ２０２１
牡　2月18日生　黒鹿毛
父：マジェスティックウォリアー
母：ラミアカーサ
母父：ゴールドアリュール
藤田　孟司",7/26（火）,38,ラミアカーサ２０２１,牡,黒鹿,2月18日,マジェスティックウォリアー,ラミアカーサ,ゴールドアリュール,藤田　孟司,㈲チェスナットファーム,38
"No.39
エテルナミノル２０２１
牡　4月11日生　鹿毛
父：カリフォルニアクローム
母：エテルナミノル
母父：エンパイアメーカー
㈲フジワラファーム",7/26（火）,39,エテルナミノル２０２１,牡,鹿,4月11日,カリフォルニアクローム,エテルナミノル,エンパイアメーカー,㈲フジワラファーム,㈲フジワラファーム,39
"No.40
スティーミーウィンドウズ２０２１
♀　3月23日生　鹿毛
父：Palace Malice
母：スティーミーウィンドウズ
母父：Giant's Causeway
森永　聡",7/26（火）,40,スティーミーウィンドウズ２０２１,♀,鹿,3月23日,Palace Malice,スティーミーウィンドウズ,Giant's Causeway,森永　聡,㈲日高軽種馬共同育成公社,40
"No.41
ルフランエトワール２０２１
牡　3月28日生　黒鹿毛
父：シャンハイボビー
母：ルフランエトワール
母父：オルフェーヴル
㈲富田牧場",7/26（火）,41,ルフランエトワール２０２１,牡,黒鹿,3月28日,シャンハイボビー,ルフランエトワール,オルフェーヴル,㈲富田牧場,㈱木村育成牧場,41
"No.42
ベストティアラ２０２１
牡　3月21日生　青鹿毛
父：レイデオロ
母：ベストティアラ
母父：マンハッタンカフェ
㈲上水牧場",7/26（火）,42,ベストティアラ２０２１,牡,青鹿,3月21日,レイデオロ,ベストティアラ,マンハッタンカフェ,㈲上水牧場,㈲パイオニアファーム,42
"No.43
メープル２０２１
牡　4月26日生　鹿毛
父：マクフィ
母：メープル
母父：マンハッタンカフェ
土田農場",7/26（火）,43,メープル２０２１,牡,鹿,4月26日,マクフィ,メープル,マンハッタンカフェ,土田農場,土田農場,43
"No.44
ロックンハードプレイス２０２１
牡　2月28日生　鹿毛
父：Invincible Army
母：ロックンハードプレイス
母父：ロックオブジブラルタル
㈲谷川牧場",7/26（火）,44,ロックンハードプレイス２０２１,牡,鹿,2月28日,Invincible Army,ロックンハードプレイス,ロックオブジブラルタル,㈲谷川牧場,㈲谷川牧場,44
"No.45
チャームレディ２０２１
牡　3月20日生　栗毛
父：アニマルキングダム
母：チャームレディ
母父：アグネスタキオン
前田牧場",7/26（火）,45,チャームレディ２０２１,牡,栗,3月20日,アニマルキングダム,チャームレディ,アグネスタキオン,前田牧場,㈲高橋ファーム,45
"No.46
ダンツキャンサー２０２１
牡　5月10日生　鹿毛
父：アジアエクスプレス
母：ダンツキャンサー
母父：アドマイヤジャパン
（同）小泉学",7/26（火）,46,ダンツキャンサー２０２１,牡,鹿,5月10日,アジアエクスプレス,ダンツキャンサー,アドマイヤジャパン,（同）小泉学,萬牧場,46
"No.47
ダノングラシアス２０２１
牡　2月27日生　鹿毛
父：ブリックスアンドモルタル
母：ダノングラシアス
母父：マンハッタンカフェ
㈲千代田牧場",7/26（火）,47,ダノングラシアス２０２１,牡,鹿,2月27日,ブリックスアンドモルタル,ダノングラシアス,マンハッタンカフェ,㈲千代田牧場,㈲千代田牧場,47
"No.48
エバーシャイニング２０２１
♀　2月28日生　黒鹿毛
父：リオンディーズ
母：エバーシャイニング
母父：ゼンノロブロイ
中田　英樹",7/26（火）,48,エバーシャイニング２０２１,♀,黒鹿,2月28日,リオンディーズ,エバーシャイニング,ゼンノロブロイ,中田　英樹,㈲チェスナットファーム,48
"No.49
ブルーロータス２０２１
牡　4月3日生　栗毛
父：カリフォルニアクローム
母：ブルーロータス
母父：ディープインパクト
㈲三石川上牧場",7/26（火）,49,ブルーロータス２０２１,牡,栗,4月3日,カリフォルニアクローム,ブルーロータス,ディープインパクト,㈲三石川上牧場,㈱ペガサスファーム,49
"No.50
アルスノヴァ２０２１
♀　4月20日生　鹿毛
父：ロードカナロア
母：アルスノヴァ
母父：ダンスインザダーク
前川　勝春",7/26（火）,50,アルスノヴァ２０２１,♀,鹿,4月20日,ロードカナロア,アルスノヴァ,ダンスインザダーク,前川　勝春,Ｔｅａｍ　Ｕｎｉｔｙ,50
"No.51
ウインフロレゾン２０２１
♀　3月16日生　鹿毛
父：ドレフォン
母：ウインフロレゾン
母父：フジキセキ
㈲二風谷ファーム",7/26（火）,51,ウインフロレゾン２０２１,♀,鹿,3月16日,ドレフォン,ウインフロレゾン,フジキセキ,㈲二風谷ファーム,二風谷軽種馬共同育成センター,51
"No.52
パールズシャイン２０２１
牡　5月4日生　鹿毛
父：モーリス
母：パールズシャイン
母父：ディープインパクト
㈲杵臼牧場",7/26（火）,52,パールズシャイン２０２１,牡,鹿,5月4日,モーリス,パールズシャイン,ディープインパクト,㈲杵臼牧場,アーカムパートナーファーム,52
"No.53
ハッピーサンディー２０２１
牡　3月14日生　黒鹿毛
父：ミッキーアイル
母：ハッピーサンディー
母父：カジノドライヴ
㈱前田ファーム",7/26（火）,53,ハッピーサンディー２０２１,牡,黒鹿,3月14日,ミッキーアイル,ハッピーサンディー,カジノドライヴ,㈱前田ファーム,㈲三石軽種馬共同育成センター,53
"No.54
センターグランタス２０２１
牡　5月4日生　鹿毛
父：デクラレーションオブウォー
母：センターグランタス
母父：アグネスタキオン
庄野牧場",7/26（火）,54,センターグランタス２０２１,牡,鹿,5月4日,デクラレーションオブウォー,センターグランタス,アグネスタキオン,庄野牧場,エバグリーンセールスコンサインメント,54
"No.55
ポエティックレガシー２０２１
♀　3月25日生　鹿毛
父：Saxon Warrior
母：ポエティックレガシー
母父：Lope de Vega
㈲吉田ファーム",7/26（火）,55,ポエティックレガシー２０２１,♀,鹿,3月25日,Saxon Warrior,ポエティックレガシー,Lope de Vega,㈲吉田ファーム,㈲吉田ファーム,55
"No.56
ダラニ２０２１
牡　3月19日生　黒鹿毛
父：リオンディーズ
母：ダラニ
母父：サクラバクシンオー
㈱チャンピオンズファーム",7/26（火）,56,ダラニ２０２１,牡,黒鹿,3月19日,リオンディーズ,ダラニ,サクラバクシンオー,㈱チャンピオンズファーム,㈱チャンピオンズファーム,56
"No.57
ローズアダージョ２０２１
♀　5月1日生　鹿毛
父：アジアエクスプレス
母：ローズアダージョ
母父：ディープインパクト
上野　正恵",7/26（火）,57,ローズアダージョ２０２１,♀,鹿,5月1日,アジアエクスプレス,ローズアダージョ,ディープインパクト,上野　正恵,上野　正恵,57
"No.58
アースプレイ２０２１
♀　4月29日生　黒鹿毛
父：ドレフォン
母：アースプレイ
母父：ゼンノロブロイ
㈲ガーベラパークスタッド",7/26（火）,58,アースプレイ２０２１,♀,黒鹿,4月29日,ドレフォン,アースプレイ,ゼンノロブロイ,㈲ガーベラパークスタッド,㈱木村育成牧場,58
